account_lsr,bars_to_future_max,base_detected,base_vacuum,bias,close,confidence,future_max_return,global_lsr,idx,oi,oi_change_pct,oi_state,pattern,position_lsr,quote_validation,readiness,result_tag,suitable,symbol,time,trades
3.3975,5,,,,0.11423,,0.01593277,3.0933,0,33428281.0,0.0,,,1.6773,,,,False,CLOUSDT,2026-05-06 00:50:00 UTC,103
3.3937,4,,,,0.11458,,0.01282946,3.1169,1,33427652.0,-0.0018816402793790084,,,1.6776,,,,False,CLOUSDT,2026-05-06 00:55:00 UTC,304
3.3821,3,,,,0.11432,,0.01513296,3.1374,2,33409608.0,-0.05,,,1.6789,,,,False,CLOUSDT,2026-05-06 01:00:00 UTC,123
3.3956,2,,,,0.11448,,0.01371419,3.1237,3,33410211.0,0.0018048700242157885,,,1.6795,,,,False,CLOUSDT,2026-05-06 01:05:00 UTC,142
3.384,1,,,,0.11485,,0.01044841,3.0883,4,33423595.0,0.04,,,1.6796,,,,False,CLOUSDT,2026-05-06 01:10:00 UTC,114
3.3937,0,,,,0.11605,,0.0,3.1051,5,33422669.0,-0.002770497907241875,,,1.6796,,,,False,CLOUSDT,2026-05-06 01:15:00 UTC,264
3.3687,0,,,,0.11588,,0.0,3.1186,6,33429050.0,0.02,,,1.6795,,,,False,CLOUSDT,2026-05-06 01:20:00 UTC,253
3.386,6,,,,0.11557,,8.653e-05,3.0683,7,33423009.0,-0.02,,,1.6844,,,,False,CLOUSDT,2026-05-06 01:25:00 UTC,112
3.3879,5,,,,0.1155,,0.00069264,3.075,8,33388783.0,-0.1,,,1.6832,,,,False,CLOUSDT,2026-05-06 01:30:00 UTC,202
3.3937,4,,,,0.11535,,0.00199393,3.0667,9,33363768.0,-0.07,,,1.6815,,,,False,CLOUSDT,2026-05-06 01:35:00 UTC,209
3.3802,3,,,,0.11524,,0.00295036,3.1169,10,33386711.0,0.07,,,1.6847,,,,False,CLOUSDT,2026-05-06 01:40:00 UTC,71
3.3937,2,,,,0.11517,,0.00355995,3.1034,11,33372628.0,-0.04,,,1.6845,,,,False,CLOUSDT,2026-05-06 01:45:00 UTC,141
3.4033,1,,,,0.11524,,0.00295036,3.1085,12,33373147.0,0.0015551667072787915,,,1.6843,,,,False,CLOUSDT,2026-05-06 01:50:00 UTC,66
3.4014,0,,,,0.11558,,0.0,3.1085,13,33362930.0,-0.03,,,1.6837,,,,False,CLOUSDT,2026-05-06 01:55:00 UTC,73
