adverse_before_future_max,bars_to_future_max,bias,close,confidence,future_max_return,future_max_time,is_signal,ls_divergence,oi_read,pattern,price_acceptance,quote_volume_validation,readiness,time,trades_read,trigger_status
0.0,24,,0.1113,,0.15184187,2026-06-02 21:30:00 UTC,False,,,,,,,2026-06-02 15:30:00 UTC,,
0.0,24,,0.1125,,0.15288889,2026-06-02 21:45:00 UTC,False,,,,,,,2026-06-02 15:45:00 UTC,,
0.0,24,,0.1137,,0.15039578,2026-06-02 22:00:00 UTC,False,,,,,,,2026-06-02 16:00:00 UTC,,
0.0,24,,0.1141,,0.16827344,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 16:15:00 UTC,,
0.0,23,,0.1148,,0.16114983,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 16:30:00 UTC,,
0.0,22,,0.1152,,0.15711806,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 16:45:00 UTC,,
0.0,21,,0.1164,,0.145189,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 17:00:00 UTC,,
0.0,20,,0.118,,0.12966102,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 17:15:00 UTC,,
0.0,19,,0.1182,,0.12774958,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 17:30:00 UTC,,
-0.0066778,18,,0.1198,,0.11268781,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 17:45:00 UTC,,
0.0,17,,0.119,,0.12016807,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 18:00:00 UTC,,
-0.0041425,16,,0.1207,,0.10439105,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 18:15:00 UTC,,
-0.01394586,15,,0.1219,,0.09351928,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 18:30:00 UTC,,
-0.01797386,14,,0.1224,,0.08905229,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 18:45:00 UTC,,
-0.02117264,13,,0.1228,,0.08550489,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 19:00:00 UTC,,
-0.00743187,12,,0.1211,,0.10074319,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 19:15:00 UTC,,
0.0,11,,0.1202,,0.10898502,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 19:30:00 UTC,,
-0.00814332,10,,0.1228,,0.08550489,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 19:45:00 UTC,,
0.0,9,,0.1218,,0.09441708,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 20:00:00 UTC,,
0.0,8,,0.123,,0.08373984,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 20:15:00 UTC,,
0.0,7,,0.125,,0.0664,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 20:30:00 UTC,,
-0.00157356,6,,0.1271,,0.04878049,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 20:45:00 UTC,,
0.0,5,,0.1269,,0.05043341,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 21:00:00 UTC,,
0.0,4,,0.1278,,0.04303599,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 21:15:00 UTC,,
0.0,3,,0.1282,,0.03978159,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 21:30:00 UTC,,
0.0,2,,0.1297,,0.02775636,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 21:45:00 UTC,,
0.0,1,,0.1308,,0.01911315,2026-06-02 22:15:00 UTC,False,,,,,,,2026-06-02 22:00:00 UTC,,
-0.03675919,1,,0.1333,,-0.03675919,2026-06-02 22:30:00 UTC,False,,,,,,,2026-06-02 22:15:00 UTC,,
-0.03738318,1,,0.1284,,-0.03738318,2026-06-02 22:45:00 UTC,False,,,,,,,2026-06-02 22:30:00 UTC,,
-0.04449838,17,Distribution Risk,0.1236,Medium,-0.00242718,2026-06-03 03:00:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI صاعد تدريجي,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-06-02 22:45:00 UTC,Trades تنظيف,Failed Trigger
-0.04061738,16,Distribution Risk,0.1231,Medium,0.0016247,2026-06-03 03:00:00 UTC,False,Long Consensus,OI ثابت,Failed Base Ignition,Controlled Pullback,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-06-02 23:00:00 UTC,Trades صحية تدريجية,Trigger Candidate
-0.02477291,15,Distribution Risk,0.1211,Medium,0.0181668,2026-06-03 03:00:00 UTC,False,Long Consensus,OI هابط تدريجي,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-06-02 23:15:00 UTC,Trades صحية تدريجية,Failed Trigger
-0.02718287,14,Distribution Risk,0.1214,Medium,0.01565074,2026-06-03 03:00:00 UTC,False,Long Consensus,OI Flush,Failed Base Ignition,Controlled Pullback,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-06-02 23:30:00 UTC,Trades هادئة,Trigger Candidate
-0.01747088,13,Distribution Risk,0.1202,Low,0.02579035,2026-06-03 03:00:00 UTC,False,Quiet Top Positioning,OI هابط تدريجي,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-06-02 23:45:00 UTC,Trades هادئة,Failed Trigger
-0.01583333,12,Distribution Risk,0.12,Low,0.0275,2026-06-03 03:00:00 UTC,False,Quiet Top Positioning,OI ثابت,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-06-03 00:00:00 UTC,Trades هادئة,Failed Trigger
-0.01991701,11,Neutral / Unclear,0.1205,Medium,0.02323651,2026-06-03 03:00:00 UTC,False,Mixed L/S Structure,OI ثابت,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-06-03 00:15:00 UTC,Trades هادئة,No Trigger
-0.01088777,10,Distribution Risk,0.1194,Medium,0.03266332,2026-06-03 03:00:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI ثابت,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-06-03 00:30:00 UTC,Trades هادئة,No Trigger
-0.00922819,9,Distribution Risk,0.1192,Medium,0.03439597,2026-06-03 03:00:00 UTC,False,Mixed L/S Structure,OI هابط تدريجي,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-06-03 00:45:00 UTC,Trades هادئة,No Trigger
0.0,8,Distribution Risk,0.1181,Medium,0.04403048,2026-06-03 03:00:00 UTC,False,Quiet Top Positioning,OI هابط تدريجي,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-06-03 01:00:00 UTC,Trades هادئة,No Trigger
0.0,7,Bearish Structural Risk,0.1183,Medium,0.04226543,2026-06-03 03:00:00 UTC,False,Long Consensus,OI هابط تدريجي,Liquidity Exit / Decay,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,2026-06-03 01:15:00 UTC,Trades هادئة,No Trigger
0.0,6,Bearish Structural Risk,0.1192,Medium,0.03439597,2026-06-03 03:00:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI هابط تدريجي,Liquidity Exit / Decay,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,2026-06-03 01:30:00 UTC,Trades هادئة,No Trigger
-0.00575185,5,Neutral / Unclear,0.1217,Medium,0.01314708,2026-06-03 03:00:00 UTC,False,Mixed L/S Structure,Price-led Base Move Without OI Expansion,Mixed Structure,Pre-OI / No-OI Accepted Move From Base,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-06-03 01:45:00 UTC,Trades هادئة,No Trigger
-0.00082576,4,Neutral / Unclear,0.1211,Low,0.0181668,2026-06-03 03:00:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI هابط تدريجي,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-06-03 02:00:00 UTC,Trades هادئة,No Trigger
